"",latitude,longitude,station_id,name,popularity,rating,price,distance,fsq_id
199,49.264326,-123.164725,abfaf72456a4828a22f5bf60d3a80777,Artistry Coffee Shop,NaN,NaN,2.0,646,552c3376b09049debbca83b2
200,49.266636,-123.183661,2ff7eb4230654603592ab1b0780ec5e1,Nick's Barber Shop,0.794856,NaN,NaN,638,4d31ef57b6093704ac58f1df
201,49.254818,-123.114785,ea9485fcdce0611243474d000e4ad248,Jugo Juice Broadway Station,NaN,NaN,NaN,909,53372ea213dd4cc8af5ee858
202,49.268837,-123.177633,671ce9e4a92063620f772d2c57f0f3ab,Paint Nite,0.284137,NaN,2.0,538,52cd757b11d2a691812fa026
203,49.255034,-123.120226,41a55a7e2908fbbd65175b794d26bc8d,Jugo Juice Broadway Station,NaN,NaN,NaN,978,53372ea213dd4cc8af5ee858
204,49.271044,-123.170661,a59924f0ff3fb481a7bd8a5e9c36858f,Kitsilano Barbers,0.970242,NaN,NaN,876,4b8c61e1f964a520edcd32e3
205,49.252691,-123.101289,89a0b49a66e54a7639ad960962148a3e,Bells and Whistles,0.980447,7.3,1.0,900,59d6fb3c0a464d2a78996c61
206,49.272172,-123.097978,44fc3d58831a9f2b919c7a3a1838b74a,The American,0.982751,7.5,2.0,473,5840e86d44689a5eabddf770
207,49.271082,-123.191458,d40db8c27c5bd409d57cfa846f73c378,The Wolf and Hound,0.962665,8.0,1.0,906,4aa7e94cf964a520f64d20e3
208,49.278080,-123.130557,4990fe5772f3b73eebeec125b41e478e,Lux Lounge,0.973517,7.4,2.0,294,51c28ccf498e3b117e3f7f29
209,49.269969,-123.109623,bf96df77771ef0ed710d8e0e67917f45,Rogue Kitchen & Wetbar,0.982484,8.2,3.0,964,4f60fc8be4b0a9d090a1f850
210,49.287528,-123.142139,e75e83499d3fa2e174dc2a8ffd238119,Arike,0.900864,NaN,2.0,147,5cf46168471d6e002ced8486
211,49.288030,-123.142135,0438114d2e6b96118de69bc9775bb21e,"Chantell's Beer, Wine & Cocktails",0.214873,NaN,3.0,369,53b98fd3498e06cf1e6ef4d2
212,49.259579,-123.114769,07b13214cb69f2ec007d888450f3d6bc,Speakeasy Bar & Grill,0.934601,NaN,1.0,830,58f57305d7627e4743d2ccd5
213,49.289071,-123.138407,f5e8fa1fc4252bda2f93dd27ed2d603f,The Calling Public House,0.980790,6.7,1.0,331,4afa7953f964a520ec1722e3
214,49.287782,-123.123950,c2a9c5d0e4578b928554c86f3d2c1162,Dublin Calling,0.988462,8.3,1.0,859,5a0fd58f1b0ea50e677fd1a2
215,49.285120,-123.112420,5f45325fdd6334a4c0d3b62853b19fa6,Brass Fish Tavern,0.979210,7.7,2.0,412,5e4744e38fe461000780f69b
216,49.247854,-123.153422,085a0e120a08a80a58c0ae0ff9da565a,Arbutus Club Lounge,0.872515,NaN,3.0,121,4e8e3ee546907a17cc067519
217,49.265939,-123.112900,8d5f47f01d7ad668419dfe9b7fe69c9a,Narrow Lounge,0.963883,8.0,3.0,934,4aa734e0f964a520454c20e3
218,49.261122,-123.097571,bede4b24dae115d4cd43d2e6cc9812cb,Tocador,0.919237,7.4,2.0,238,5aa23c3c012358676d8b1aca
219,49.267725,-123.113110,680b1ddfd50c4397b365c9c00f09b0d1,Mahony & Sons,0.995269,7.4,NaN,436,53eee0b9498e381a6c7eaa98
220,49.267725,-123.113110,680b1ddfd50c4397b365c9c00f09b0d1,Mahony & Sons,0.995269,7.4,NaN,436,53eee0b9498e381a6c7eaa98
221,49.274232,-123.129998,6620c54bd6b3a79800b2b67e999b24d0,Uva Wine Bar,0.952441,7.9,2.0,916,4aa7f6f2f964a520464e20e3
222,49.238105,-123.154966,7f091b50fbbd892bf9fb869a64c47120,Barra 41,NaN,NaN,NaN,595,4b324d02d2e0449ed72c6a4a
223,49.238105,-123.154966,7f091b50fbbd892bf9fb869a64c47120,Barra 41,NaN,NaN,NaN,595,4b324d02d2e0449ed72c6a4a
224,49.249722,-123.104991,97388f4e4ea102a30345524bda465f4e,Alphabet City,0.927024,NaN,2.0,416,5e2bd62bcc49c20008526b93
225,49.243375,-123.104978,066ecc3584913fa035ec1417323beb80,Simply Delicious,0.542628,5.2,2.0,454,4ab993a4f964a520ee7f20e3
226,49.282087,-123.056909,b530d04d393d71cffb8b8b07f4a82380,The Narcissus,0.843957,NaN,1.0,975,5a4826f1e55d8b0532c25fa2
227,49.283968,-123.061615,06bdc4d55f34b2a491305534fd5defda,The Narcissus,0.843957,NaN,1.0,609,5a4826f1e55d8b0532c25fa2
