"",name,station_id,rating,price,lat_long,distance,source,id,fsq_id
97,Black Rice Izakaya,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",693.560212,yelp,8HH7xRjmjwzkhADZWir_Cw,NaN
98,Gotham Steakhouse & Bar,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$$,"49.274566,-123.121817",1017.546097,yelp,cY7rImCLGK1PPNcivk3ofw,NaN
99,Nuba in Gastown,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$,"49.274566,-123.121817",1268.923476,yelp,IKWsLkiJLA4YwiIoxnaZaQ,NaN
100,Chambar,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",45.600507,yelp,_4R46MNkwx9MeOyt0YfNxA,NaN
101,Fanny Bay Oyster Bar & Shellfish Market,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",314.176953,yelp,Ufhxnrt_OJu4jHfVTP3aRQ,NaN
102,Jam Cafe on Beatty,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",65.350935,yelp,LjdbthVdtLYKSi7iVAFl0g,NaN
103,Pizzeria Ludica,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",124.845258,yelp,sUxHZhLvTrLE4eoewdv-ug,NaN
104,Caveman Cafe,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",254.005295,yelp,ljnjap6GNVMvS1DNzgDOYA,NaN
105,Miku,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$,"49.279764,-123.110154",817.639764,yelp,4EV_ZcQmjAmP3pmO-_nb2A,NaN
106,Devil's Elbow Ale & Smoke House,6d42fa40360f9a6b2bf641c7b8bb2862,3.5,$$,"49.279764,-123.110154",58.961959,yelp,K7c5urKrmZ5CZeldngwzig,NaN
107,TAKO,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$,"49.279764,-123.110154",170.241437,yelp,z2tHNBxoQ-_CoczbhzLNrQ,NaN
108,Blue Water Cafe,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$$,"49.279764,-123.110154",888.378789,yelp,gt1BSfVFvzI-qHdJ3LUZug,NaN
109,Nuba in Gastown,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",335.447587,yelp,IKWsLkiJLA4YwiIoxnaZaQ,NaN
110,Black Rice Izakaya,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",336.550340,yelp,8HH7xRjmjwzkhADZWir_Cw,NaN
111,Tokyo In April,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",214.615562,yelp,ecN9xzc80xkm9XOFNCUDmw,NaN
112,Lupo,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$,"49.279764,-123.110154",550.361597,yelp,wHTXCWVsx2PYPT21JV-HeQ,NaN
113,Tsuki Sushi Bar,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",226.149146,yelp,CjQMcgDgX_RdpSNby266oA,NaN
114,Gotham Steakhouse & Bar,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$$,"49.279764,-123.110154",545.796321,yelp,cY7rImCLGK1PPNcivk3ofw,NaN
115,Phnom Penh,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",879.370737,yelp,yeNenSjz_HCqngGFU5d8NQ,NaN
116,Browns Socialhouse QE Theatre,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",220.076973,yelp,suqB3S2tjRqg_4UR7Ji3cA,NaN
117,Medina Cafe,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",504.911371,yelp,VPqWLp9kMiZEbctCebIZUA,NaN
118,The Dirty Apron Delicatessen,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",111.169888,yelp,cLGh_q9jWTpp53tsj29S-w,NaN
119,Twisted Fork,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",562.988187,yelp,uAROEz8D29elXoNxjnPrkQ,NaN
120,Robba da Matti,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",921.598557,yelp,htvl5L_V-zKN0UvUgP60PQ,NaN
121,The Flying Pig,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",1009.603934,yelp,NdEPf2Ls5Ql3_nkwjqKvXA,NaN
122,Jinya Ramen Bar - Vancouver,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",567.932300,yelp,8-l4x9EYK6JAbMycfrDU3Q,NaN
123,PiDGiN,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",493.996128,yelp,H4h_nwZW7f2Yj9ONdzGxHQ,NaN
124,La Taqueria Pinche Taco Shop,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",351.486708,yelp,vXTo69v2bGEyuBdT0X1hrw,NaN
125,The Magnet,6d42fa40360f9a6b2bf641c7b8bb2862,5.0,NaN,"49.279764,-123.110154",309.577350,yelp,JGZbGEKXmZ7OeqjYaGp4bw,NaN
126,Meat & Bread,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",323.658335,yelp,5T0vKfIJWP1xTnxA7fJ17w,NaN
127,L'Abattoir,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",562.185609,yelp,7Tne8P5zyMpJKfpjQg2P-g,NaN
128,Pourhouse Restaurant,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",499.563652,yelp,n4y_jKEQLIQeDjHge9uJvw,NaN
129,Nemesis Coffee,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",339.468321,yelp,GQK8trvjFDBuETAchTMVIA,NaN
130,Hawksworth Restaurant,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",768.731095,yelp,70D_rxm388HaD2qMTB59xw,NaN
131,Purebread,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",308.780303,yelp,nct5iYSlXQLe9ln-EmDdcQ,NaN
132,Frankie's Italian Kitchen,6d42fa40360f9a6b2bf641c7b8bb2862,3.5,$$,"49.279764,-123.110154",297.529797,yelp,JMz8y1xj5JiUN1SH5WWBVg,NaN
133,Finch's Tea & Coffee House,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",352.641533,yelp,4lKygNwoHQNhQrNmsWPn2g,NaN
134,Calabash Bistro,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",451.439378,yelp,nNhGmSP8xcBAWokkNv0m1w,NaN
135,Sushi Den,6d42fa40360f9a6b2bf641c7b8bb2862,3.0,$$,"49.279764,-123.110154",180.952974,yelp,cq_L0RPXHZ2MjPEkWLRDCQ,NaN
136,Five Sails Restaurant,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$$,"49.279764,-123.110154",947.046064,yelp,OUzfOoeRg_OY4MChz7VguA,NaN
137,Rodney's Oyster House,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",1122.581605,yelp,xYDUAD4JGLVnQUB2i8njBA,NaN
138,Bao Bei Chinese Brasserie,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",695.100643,yelp,K1943yeGQELTUeiH6bDa2g,NaN
139,Di Beppe,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",502.596890,yelp,G42wPpAtYNSoX5QxEt6pVg,NaN
140,Minami,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$$,"49.279764,-123.110154",921.046564,yelp,gV9lrbWr1CE1Jl0E58UO2g,NaN
141,Botanist,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$,"49.279764,-123.110154",1026.967302,yelp,QzZfjFBnqtBZUUFlWVCd5w,NaN
142,Six Acres,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",574.148154,yelp,iV8i_ZXXBj1JTqFrJfleQw,NaN
143,Taishoken Ramen,6d42fa40360f9a6b2bf641c7b8bb2862,3.5,$$,"49.279764,-123.110154",195.792791,yelp,rOHGRHbyDcwLEbDn0lIejg,NaN
144,OEB Breakfast Co. Yaletown,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",963.724381,yelp,QmkGDL-8zexdKV3Xcn8ZYg,NaN
145,Sushi Jin,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$,"49.279764,-123.110154",991.362194,yelp,iMtUsHOqitE6Aau59K_XRg,NaN
146,St Lawrence Restaurant,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$$,"49.279764,-123.110154",963.881754,yelp,3r9FUpajfS7Or9CVzUmFlg,NaN
147,Alibi Room,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$$,"49.279764,-123.110154",875.059953,yelp,8epZBQPYacy1-KQULLABmg,NaN
148,MeeT in Gastown,6d42fa40360f9a6b2bf641c7b8bb2862,4.0,$$,"49.279764,-123.110154",561.060052,yelp,LXW8pRE_VLi8gnW94s-GFg,NaN
149,Gringo,6d42fa40360f9a6b2bf641c7b8bb2862,4.5,$,"49.279764,-123.110154",514.146801,yelp,xotJvqXcjsDSnbL993L5rg,NaN
150,iDen & Quan Ju De Beijing Duck House,66f873d641d448bd1572ab086665a458,3.5,NaN,"49.260599,-123.113504",102.555742,yelp,Zi8Ywk36Ws_4zjw2gjMMFA,NaN
151,La Taqueria Pinche Taco Shop,66f873d641d448bd1572ab086665a458,4.0,$$,"49.260599,-123.113504",333.821509,yelp,6iOAgzJ0DRZNSKA3FSrrOg,NaN
152,Indian Roti Kitchen,66f873d641d448bd1572ab086665a458,4.5,$$,"49.260599,-123.113504",220.709096,yelp,pJge_LJ3NV8iQtrERe6AyQ,NaN
