empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,lat_long
10,1,97388f4e4ea102a30345524bda465f4e,49.249722,-123.104991,Ontario & 23rd,2023-09-21 19:03:51.774000,1,true,1695322478,"49.249722,-123.104991"
9,13,066ecc3584913fa035ec1417323beb80,49.243375,-123.104978,30th & Ontario,2023-09-21 19:03:51.667000,13,true,1695322765,"49.243375,-123.104978"
17,2,b530d04d393d71cffb8b8b07f4a82380,49.282087,-123.056909,Franklin & Nanaimo,2023-09-21 19:03:51.494000,0,true,1695322890,"49.282087,-123.056909"
4,12,06bdc4d55f34b2a491305534fd5defda,49.283968,-123.061615,Lakewood & Triumph,2023-09-21 19:03:51.453000,1,true,1695322861,"49.283968,-123.061615"
12,6,8e44a17d2fa446ca220b90c7063b42ca,49.287464,-123.060771,Wall & Eton,2023-09-21 19:03:51.243000,1,true,1695322864,"49.287464,-123.060771"
7,11,7c17f51469f1a7145455f65ef6afbd87,49.285575,-123.061575,Lakewood & Oxford,2023-09-21 19:03:51.367000,1,true,1695322946,"49.285575,-123.061575"
5,8,e1432b72df561a1df34290679ec9c773,49.251358,-123.115637,22nd & Cambie,2023-09-21 19:03:51.241000,0,true,1695322570,"49.251358,-123.115637"
12,5,549f00f6039e8bb702a00dcca08a8ed0,49.249184,-123.116141,King Edward & Cambie,2023-09-21 19:03:51.286000,2,true,1695322822,"49.249184,-123.116141"
18,2,d8c4fe5e09b6f010fbaa85cc7302d66b,49.245535,-123.120496,Heather & 29th,2023-09-21 19:03:51.370000,1,true,1695322926,"49.245535,-123.120496"
7,18,0c42f45e4a14957ad4a6d521d0ba8bc3,49.289255,-123.132677,Cardero & Robson,2023-09-21 19:03:51.229000,2,true,1695322846,"49.289255,-123.132677"
19,1,62a202eb98c0a4b09ba6746f5ee94ab3,49.252656,-123.067965,Commercial & 20th,2023-09-21 19:03:51.368000,1,true,1695322727,"49.252656,-123.067965"
16,1,04f64fde5ba1ebde8ad78c74914adb34,49.259469,-123.145718,Burrard & 14th,2023-09-21 19:03:51.376000,0,true,1695322877,"49.259469,-123.145718"
14,8,cc2084e365f6f230fe26bae0b6867775,49.277178,-123.13,Hornby & Drake,2023-09-21 19:03:51.398000,0,true,1695322874,"49.277178,-123.13"
14,4,f38bac9712f3beee2149ba2a97048878,49.291597,-123.129158,Cardero & Bayshore,2023-09-21 19:03:51.310000,1,true,1695323002,"49.291597,-123.129158"
11,11,9ee3bc9e836768e3e04e4f3328dae03b,49.247204,-123.101549,27th & Main,2023-09-21 19:03:51.689000,0,true,1695322996,"49.247204,-123.101549"
15,3,aa1cbf97abc3cd50515bc54633a9bb2a,49.2856698,-123.1125432,Cordova & Granville,2023-09-21 19:03:51.749000,2,true,1695322520,"49.2856698,-123.1125432"
34,6,a74744ce4bb7ea2aa9f406ac8bff95d8,49.280977,-123.035969,PNE - Hastings & Windermere,2023-09-21 19:03:51.275000,2,true,1695322761,"49.280977,-123.035969"
8,11,5699b40126e10c2f68eefc3eb18ff3a1,49.270783,-123.141564,1st & Fir,2023-09-21 19:03:51.247000,1,true,1695322960,"49.270783,-123.141564"
15,7,34fd37d12eb989b49518ef53941ee3ff,49.264019,-123.209176,Sasamat & 10th,2023-09-21 19:03:51.199000,3,true,1695322610,"49.264019,-123.209176"
18,2,b7dd37a7dd668d6d10024b7f18acc438,49.2658,-123.20596,Trimble & 8th,2023-09-21 19:03:51.246000,1,true,1695322940,"49.2658,-123.20596"
18,1,cc25ae4f093b33ba0afd1dbc0dd20324,49.265442,-123.187738,Highbury & 8th,2023-09-21 19:03:51.672000,0,true,1695322779,"49.265442,-123.187738"
